frame,timestamp,hs_crop_source,mp_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_tension_v3,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
51,1.700,haar,full_frame,0.0310,Neutral,---,---,AMBIGUOUS,---,0.0291,0.0517,0.6968,0.0000,0.2080,0.0386,0.0202,-0.000085,IDLE,"55,80,153,191",-0.1472,0.0000
52,1.733,haar,full_frame,0.0303,Neutral,---,---,AMBIGUOUS,---,0.0248,0.0505,0.6980,0.0000,0.2059,0.0081,0.0201,-0.000070,IDLE,"55,79,153,191",-0.1519,0.0000
53,1.767,haar,full_frame,0.0418,Neutral,---,---,AMBIGUOUS,---,0.0405,0.0697,0.6617,0.0000,0.1994,0.0078,0.0203,-0.000028,IDLE,"55,79,153,191",-0.1409,0.0000
54,1.800,haar,full_frame,0.0411,Neutral,---,---,AMBIGUOUS,---,0.0509,0.0684,0.6412,0.0000,0.2004,0.0047,0.0207,0.000008,IDLE,"55,79,153,191",-0.1498,0.0000
55,1.833,haar,full_frame,0.0373,Neutral,---,---,AMBIGUOUS,---,0.0482,0.0622,0.6361,0.0000,0.2025,0.2297,0.0199,-0.000049,IDLE,"55,79,153,191",-0.1582,0.0000
56,1.867,haar,full_frame,0.0368,Neutral,---,---,AMBIGUOUS,---,0.0437,0.0613,0.6839,0.0000,0.2086,0.3791,0.0194,-0.000087,IDLE,"55,79,153,191",-0.1854,0.0000
57,1.900,haar,full_frame,0.0572,Neutral,---,---,AMBIGUOUS,---,0.0521,0.0953,0.6156,0.0000,0.2004,0.3087,0.0198,-0.000042,IDLE,"55,78,152,191",-0.1696,0.0000
58,1.933,haar,full_frame,0.0006,Neutral,---,---,AMBIGUOUS,---,0.0188,0.0010,0.7248,0.0000,0.1966,0.4405,0.0200,-0.000011,IDLE,"55,78,152,190",-0.1643,0.0000
59,1.967,haar,full_frame,0.0189,Neutral,---,---,AMBIGUOUS,---,0.0485,0.0314,0.6563,0.0000,0.1959,0.0092,0.0206,0.000056,IDLE,"54,78,151,190",-0.1698,0.0000
60,2.000,haar,full_frame,0.0195,Neutral,CONC,---,AMBIGUOUS,---,0.0660,0.0325,0.6307,0.0000,0.0478,0.2931,0.0212,0.000102,IDLE,"54,76,151,187",-0.1982,0.0000
61,2.033,haar,full_frame,0.0438,Neutral,---,---,AMBIGUOUS,---,0.1033,0.0724,0.6492,0.0010,0.1624,0.2281,0.0220,0.000192,IDLE,"54,73,150,181",-0.1289,0.0000
62,2.067,haar,full_frame,0.0671,Neutral,---,---,AMBIGUOUS,---,0.1433,0.1119,0.6114,0.0000,0.1619,0.1159,0.0230,0.000271,IDLE,"54,71,149,179",-0.1139,0.0000
63,2.100,haar,full_frame,0.0130,Neutral,---,---,AMBIGUOUS,---,0.0891,0.0217,0.6697,0.0000,0.1352,0.1798,0.0236,0.000292,IDLE,"54,69,148,175",-0.0755,0.0000
64,2.133,haar,full_frame,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0708,-0.0085,0.7343,0.0000,0.1485,0.0662,0.0238,0.000392,IDLE,"54,67,148,175",-0.1080,0.0000
65,2.167,haar,full_frame,0.0495,Neutral,---,---,AMBIGUOUS,---,0.1103,0.0294,0.6526,0.0797,0.1837,0.2736,0.0251,0.000571,IDLE,"54,66,147,173",-0.1892,0.0000
66,2.200,haar,full_frame,0.0267,Neutral,---,---,AMBIGUOUS,---,0.0818,0.0020,0.6666,0.0637,0.1794,0.0466,0.0254,0.000555,IDLE,"54,66,146,173",-0.1930,0.0000
67,2.233,haar,full_frame,0.0522,Neutral,CONC,---,AMBIGUOUS,---,0.1157,0.0870,0.6355,0.0000,0.0421,0.1005,0.0258,0.000577,IDLE,"54,66,146,173",-0.2464,0.0000
68,2.267,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0680,-0.0204,0.7100,0.0000,0.0402,0.1832,0.0261,0.000546,IDLE,"54,66,145,172",-0.2232,0.0000
69,2.300,haar,full_frame,0.0139,Neutral,---,---,AMBIGUOUS,---,0.1066,0.0232,0.6514,0.0000,0.1557,0.3674,0.0272,0.000603,IDLE,"55,66,144,170",-0.1516,0.0000
70,2.333,haar,full_frame,0.0128,Neutral,---,---,AMBIGUOUS,---,0.0623,0.0214,0.6984,0.0000,0.1367,0.3427,0.0278,0.000576,IDLE,"56,66,144,170",-0.1255,0.0000
71,2.367,haar,full_frame,0.0096,Neutral,---,---,AMBIGUOUS,---,0.0993,0.0160,0.6351,0.0000,0.1519,0.4971,0.0288,0.000578,IDLE,"57,66,144,168",-0.1454,0.0000
72,2.400,haar,full_frame,0.0530,Neutral,---,---,AMBIGUOUS,---,0.1300,0.0883,0.6123,0.0000,0.1468,0.1310,0.0302,0.000659,IDLE,"58,65,146,168",-0.1255,0.0000
73,2.433,haar,full_frame,0.0335,Neutral,---,---,AMBIGUOUS,---,0.1117,0.0559,0.6393,0.0000,0.1440,0.0682,0.0314,0.000752,IDLE,"59,65,146,167",-0.1314,0.0000
74,2.467,haar,full_frame,0.0115,Neutral,---,---,AMBIGUOUS,---,0.0885,0.0192,0.6661,0.0000,0.1363,0.1365,0.0322,0.000711,IDLE,"60,65,146,166",-0.1005,0.0000
75,2.500,haar,full_frame,0.0838,Neutral,---,---,AMBIGUOUS,---,0.1528,0.1397,0.5800,0.0000,0.1412,0.0142,0.0336,0.000824,IDLE,"61,65,147,165",-0.0887,0.0000
76,2.533,haar,full_frame,0.1058,Neutral,---,---,AMBIGUOUS,---,0.2547,0.1764,0.4704,0.0000,0.1309,0.2927,0.0361,0.001029,IDLE,"62,64,148,164",-0.0929,0.0001
77,2.567,haar,full_frame,0.1175,Neutral,---,---,AMBIGUOUS,---,0.2620,0.1959,0.4538,0.0000,0.1278,0.0165,0.0384,0.001226,IDLE,"63,64,149,164",-0.1016,0.0000
78,2.600,haar,full_frame,0.0752,Neutral,---,---,AMBIGUOUS,---,0.1295,0.1253,0.5656,0.0000,0.1263,0.2159,0.0398,0.001263,IDLE,"63,64,149,164",-0.0926,0.0001
79,2.633,haar,full_frame,0.1272,Neutral,---,---,AMBIGUOUS,---,0.2162,0.2120,0.4185,0.0000,0.1204,0.1574,0.0424,0.001461,IDLE,"64,64,149,162",-0.0810,0.0001
