event_id,tier,cluster_start_s,cluster_end_s,duration_s,peak_t,vote_count_peak,vote_count_mean,channels_active,verdict,category,start_s,end_s,context,peak_f0,mean_f0,peak_f1,mean_f1,peak_f2,mean_f2,peak_f3,mean_f3,peak_f4,mean_f4,peak_f5,mean_f5,peak_f6,mean_f6,cluster_emotion,peak_hs_fear,peak_hs_surprise,peak_hs_arousal,peak_mp_tension,peak_mp_startle,n_fear_frames,n_surprise_frames,n_angry_frames,n_happy_frames,n_sad_frames,n_contempt_frames,n_disgust_frames,n_neutral_frames,no_face_pct,n_veto_frames,scene_cut_bounded,rppg_bpm_chrom,rppg_pre_bpm_chrom,rppg_delta_chrom,rppg_bpm_pos,rppg_pre_bpm_pos,rppg_delta_pos,rppg_bpm_green,rppg_pre_bpm_green,rppg_delta_green,rppg_impression,rppg_notes
E34,CANDIDATE,175.567,185.267,9.70,178.467,4,3.2,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.7960,0.4493,0.6040,0.4152,0.4272,0.3048,0.7392,0.4794,0.7960,0.4082,0.5912,0.3467,0.5990,0.3732,Fear,0.8881,0.0830,1.0829,0.1004,0.990,242,0,46,0,0,0,2,2,0.0,21,False,,,,,,,,,,,
E35,CONFIRMED,186.733,190.367,3.63,187.433,6,4.3,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.9115,0.4373,0.5991,0.2807,0.4625,0.2759,0.7542,0.3579,0.9115,0.4160,0.5961,0.2419,0.5974,0.2614,Surprise,0.2744,0.4536,0.3155,0.0823,0.650,41,53,3,0,0,0,0,13,0.0,0,False,,,,,,,,,,,
E36,CANDIDATE,191.100,191.433,0.33,191.100,4,3.8,"DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.2816,0.2147,0.1709,0.1456,0.2336,0.2026,0.2076,0.1726,0.2816,0.1532,0.1466,0.1213,0.1561,0.1301,Surprise,0.1543,0.3402,0.3056,0.1276,0.270,0,11,0,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E37,CANDIDATE,200.033,201.833,1.80,200.033,3,3.0,"DOM_FEAR,FEAR_THR,AROUSAL",,,,,,0.3434,0.2395,0.3744,0.2541,0.3104,0.2194,0.4127,0.2789,0.3434,0.2365,0.3095,0.2099,0.3501,0.2220,Fear,0.3052,0.1850,0.3309,0.0819,0.050,38,0,0,0,0,0,0,17,0.0,0,False,,,,,,,,,,,
E38,CONFIRMED,203.500,210.567,7.07,203.567,5,3.2,"DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.5013,0.2828,0.4581,0.2731,0.3584,0.2487,0.5283,0.3064,0.5013,0.2729,0.3827,0.2268,0.4382,0.2467,Surprise,0.1741,0.6051,0.3369,0.1273,2.220,168,29,4,0,0,0,0,12,0.0,0,False,,,,,,,,,,,
E39,CONFIRMED,211.733,212.567,0.83,211.733,5,4.2,"DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3113,0.1781,0.1941,0.1129,0.2653,0.1527,0.2213,0.1354,0.3113,0.1367,0.3397,0.1151,0.1898,0.1053,Surprise,0.1772,0.6315,0.4053,0.1704,10.130,0,15,0,3,0,0,0,8,0.0,0,False,,,,,,,,,,,
E40,CANDIDATE,213.733,214.600,0.87,213.800,4,3.1,"DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.3681,0.2673,0.1648,0.1193,0.2566,0.2109,0.2442,0.1651,0.3681,0.1991,0.1906,0.1036,0.1578,0.1105,Surprise,0.2115,0.6704,0.5504,0.0947,2.820,0,27,0,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E41,CONFIRMED,215.400,215.733,0.33,215.433,5,4.0,"DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3552,0.2344,0.1635,0.1394,0.2474,0.1903,0.2287,0.1714,0.3552,0.1992,0.2174,0.1247,0.1546,0.1289,Surprise,0.1687,0.5885,0.4883,0.1556,4.320,0,8,0,0,0,0,0,3,0.0,0,False,,,,,,,,,,,
E42,CANDIDATE,219.267,220.733,1.47,219.267,4,3.3,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.4158,0.2537,0.5677,0.4944,0.4032,0.3557,0.5957,0.4812,0.4158,0.2537,0.4705,0.4110,0.5539,0.4679,Fear,0.7236,0.0575,0.3328,0.1015,0.540,45,0,0,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E43,CANDIDATE,221.300,225.167,3.87,221.533,4,3.6,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.6952,0.3435,0.5844,0.3293,0.4190,0.2470,0.6924,0.3744,0.6952,0.2653,0.5180,0.2768,0.5811,0.2718,Fear,0.8262,0.1565,0.9458,0.1020,0.180,82,0,22,0,0,0,0,13,0.0,0,False,,,,,,,,,,,
