window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc
30,150.55,165.51,180.48,POS,53.9,85.9,1,2.69,2.38,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
31,155.54,170.5,185.47,POS,85.9,85.9,1,3.05,2.83,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
32,160.52,175.49,190.46,POS,85.9,85.6,1,3.12,3.01,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
33,165.51,180.48,195.44,POS,85.5,85.6,1,2.87,2.53,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
34,170.5,185.47,200.43,POS,85.6,85.5,1,3.22,2.81,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
35,175.49,190.46,205.42,POS,58.2,58.5,1,2.34,1.56,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
36,180.48,195.44,210.41,POS,58.5,58.5,1,2.75,1.74,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
37,185.47,200.43,215.4,POS,58.2,58.5,1,3.0,2.04,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
38,190.46,205.42,220.38,POS,151.6,82.1,1,2.23,1.15,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
39,195.44,210.41,225.37,POS,150.2,118.2,1,2.54,1.35,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
40,200.43,215.4,230.36,POS,82.1,118.2,1,2.74,1.52,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
41,205.42,220.38,235.35,POS,118.2,82.1,1,2.44,1.44,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
42,210.41,225.37,240.34,POS,68.0,82.1,1,2.94,1.46,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
43,215.4,230.36,245.32,POS,67.9,86.5,1,3.01,1.31,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
44,220.38,235.35,250.31,POS,86.5,86.5,1,3.02,1.4,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
45,225.37,240.34,255.3,POS,118.0,86.5,1,2.42,1.25,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
46,230.36,245.32,260.29,POS,118.0,86.5,1,2.88,1.34,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
47,235.35,250.31,265.28,POS,72.2,72.2,1,2.3,0.87,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
48,240.34,255.3,270.27,POS,44.4,50.0,1,2.27,1.93,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
49,245.32,260.29,275.26,POS,50.0,50.0,1,2.38,2.29,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
50,250.31,265.28,280.24,POS,49.9,49.9,1,2.36,2.08,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
51,255.3,270.27,285.23,POS,50.2,49.9,1,2.72,2.14,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
52,260.29,275.26,290.22,POS,47.9,47.9,1,2.72,2.09,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
0,0.6,15.87,30.83,GREEN,51.6,51.6,1,6.88,429.82,0.107,901,0.0,0,2026-05-02T13:24:48.337726+00:00
1,5.89,20.85,35.82,GREEN,52.2,51.6,1,6.56,204.82,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
2,10.88,25.84,40.81,GREEN,51.5,51.5,1,5.54,142.92,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
3,15.87,30.83,45.79,GREEN,50.4,51.5,1,5.78,149.22,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
4,20.85,35.82,50.78,GREEN,50.4,51.5,1,6.59,160.61,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
5,25.84,40.81,55.77,GREEN,60.5,60.5,1,3.91,36.62,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
6,30.83,45.79,60.76,GREEN,90.2,90.2,1,3.4,40.22,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
7,35.82,50.78,65.75,GREEN,93.8,90.2,1,3.04,38.45,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
8,40.81,55.77,70.73,GREEN,93.7,90.2,1,2.93,37.06,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
9,45.79,60.76,75.72,GREEN,62.0,70.4,1,5.15,69.98,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
10,50.78,65.75,80.71,GREEN,70.4,63.5,1,4.68,58.05,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
11,55.77,70.73,85.7,GREEN,48.0,62.0,1,4.33,56.26,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
12,60.76,75.72,90.69,GREEN,63.5,63.5,1,3.43,51.12,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
13,65.75,80.71,95.68,GREEN,49.8,50.1,1,4.76,65.14,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
14,70.73,85.7,100.67,GREEN,63.9,50.3,1,4.01,65.89,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
15,75.72,90.69,105.65,GREEN,50.1,50.1,1,4.82,79.81,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
16,80.71,95.68,110.64,GREEN,50.3,50.3,1,3.84,62.95,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
17,85.7,100.67,115.63,GREEN,50.1,50.1,1,4.89,90.62,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
