# session_start_utc=2026-05-02T13:24:48.337726+00:00
frame_idx,timestamp,r,g,b,face_detected,bbox
402,14.0347,83.609,50.534,47.804,1,"273,175,416,270"
403,14.071,82.565,49.957,47.114,1,"275,177,416,270"
404,14.1027,83.569,50.374,47.538,1,"273,177,416,272"
405,14.1347,83.104,50.247,47.077,1,"274,177,415,271"
406,14.1707,83.258,50.144,47.245,1,"274,179,415,273"
407,14.2029,83.244,50.502,47.359,1,"273,177,417,273"
408,14.2348,82.61,50.098,47.195,1,"274,178,415,271"
409,14.2707,83.339,50.561,47.714,1,"273,177,417,273"
410,14.3027,83.252,50.412,47.695,1,"273,176,414,270"
411,14.3349,82.727,50.145,47.243,1,"274,177,415,271"
412,14.3707,83.194,50.34,47.66,1,"274,177,415,271"
413,14.4027,82.45,50.006,47.182,1,"274,179,415,272"
414,14.4349,82.932,50.265,47.484,1,"276,178,416,272"
415,14.4712,82.784,50.147,47.029,1,"277,179,417,273"
416,14.5027,83.531,50.539,47.811,1,"275,178,419,274"
417,14.5347,83.385,50.709,47.697,1,"274,175,419,272"
418,14.5667,83.203,50.456,47.775,1,"275,177,419,273"
419,14.6027,83.363,50.619,47.653,1,"274,174,421,272"
420,14.6347,83.462,50.629,47.782,1,"273,175,421,273"
421,14.6667,82.864,50.4,47.339,1,"275,177,419,273"
422,14.7026,83.464,50.685,47.652,1,"275,175,422,273"
423,14.7347,83.1,50.387,47.213,1,"275,178,419,274"
424,14.7668,83.532,50.462,47.673,1,"274,176,418,272"
425,14.8027,83.23,50.466,47.34,1,"274,176,418,272"
426,14.8348,83.735,50.808,47.856,1,"274,175,421,273"
427,14.8667,83.254,50.525,47.377,1,"274,177,418,273"
428,14.9026,83.548,50.559,47.64,1,"273,177,417,273"
429,14.9346,82.751,50.359,47.331,1,"274,177,417,272"
430,14.9667,83.494,50.753,47.872,1,"274,176,419,273"
431,15.0027,83.378,50.569,47.563,1,"274,176,419,273"
432,15.0347,83.87,50.782,47.768,1,"273,175,420,273"
433,15.0666,83.188,50.378,47.387,1,"276,177,418,272"
434,15.1026,83.076,50.219,47.495,1,"276,179,417,273"
435,15.1347,83.882,51.054,47.877,1,"273,175,420,274"
436,15.1668,83.728,50.735,47.865,1,"272,175,420,273"
437,15.1989,83.051,50.465,47.585,1,"275,176,419,272"
438,15.2348,83.67,50.717,48.175,1,"273,175,420,273"
439,15.2667,83.495,50.571,47.927,1,"274,175,423,274"
440,15.2987,82.349,49.685,47.48,1,"277,179,418,272"
441,15.3349,82.747,50.323,47.484,1,"275,177,419,273"
442,15.3667,82.848,50.171,47.557,1,"276,178,418,273"
443,15.3987,82.457,49.881,47.182,1,"275,177,416,271"
444,15.4348,82.297,49.841,46.842,1,"278,178,419,272"
445,15.4666,82.542,49.974,46.918,1,"276,179,418,274"
446,15.499,82.9,50.152,47.349,1,"275,178,419,274"
447,15.5349,83.024,50.311,47.208,1,"273,177,419,274"
448,15.5667,83.27,50.01,47.356,1,"274,178,414,272"
449,15.5989,82.187,49.62,46.6,1,"273,180,414,273"
450,15.6348,83.133,50.059,47.448,1,"274,178,416,273"
451,15.6667,83.167,50.327,47.351,1,"273,179,418,276"
452,15.6989,82.202,49.511,46.965,1,"276,183,415,276"
453,15.7308,82.315,49.923,46.74,1,"274,181,417,276"
454,15.7667,82.855,50.082,47.301,1,"274,182,418,278"
455,15.7988,82.611,49.902,46.81,1,"275,183,419,279"
456,15.8308,82.776,50.36,47.465,1,"273,179,420,277"
457,15.8667,82.76,50.49,47.353,1,"272,174,424,276"
458,15.8992,82.971,50.372,47.488,1,"273,176,426,277"
459,15.9306,82.532,50.236,47.202,1,"274,175,424,275"
