frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
62,2.067,haar,0.2825,Anger,JOY,---,AMBIGUOUS,---,0.0479,0.4708,0.3105,0.0000,2.3246,0.1147,-0.000503,IDLE,"114,79,208,200",0.1893,0.4396
63,2.100,haar,0.2746,Anger,JOY,---,AMBIGUOUS,---,0.0722,0.4576,0.2598,0.0000,0.8452,0.1119,-0.000965,IDLE,"114,79,209,200",-0.0137,0.3809
64,2.133,haar,0.1946,Disgust,JOY,---,AMBIGUOUS,---,0.0412,0.3243,0.4219,0.0000,0.2064,0.1091,-0.001429,IDLE,"114,79,209,200",0.0084,0.3835
65,2.167,haar,0.1679,Disgust,JOY,---,AMBIGUOUS,---,0.0642,0.2798,0.3417,0.0000,0.3722,0.1079,-0.001558,IDLE,"115,79,209,200",0.1204,0.4188
66,2.200,haar,0.1623,Disgust,JOY,---,AMBIGUOUS,---,0.0619,0.2019,0.2674,0.1028,0.4238,0.1070,-0.001604,IDLE,"115,79,209,200",0.1454,0.4501
67,2.233,haar,0.1088,Neutral,JOY,---,AMBIGUOUS,---,0.0223,0.0696,0.2901,0.1675,1.2527,0.1063,-0.001607,IDLE,"116,79,210,200",-0.0330,0.3308
68,2.267,haar,0.1030,Contempt,---,---,AMBIGUOUS,---,0.0140,0.0183,0.3468,0.2300,1.5449,0.1059,-0.001456,IDLE,"116,79,211,200",-0.1887,0.1886
69,2.300,haar,0.0508,Neutral,STRESS,---,AGREE_STRESS,---,0.0106,-0.0889,0.4030,0.2603,1.8416,0.1053,-0.001317,IDLE,"116,78,211,199",-0.2314,0.1525
70,2.333,haar,0.0717,Contempt,STRESS,---,AGREE_STRESS,---,0.0045,-0.0444,0.4189,0.2458,0.0040,0.1043,-0.001226,IDLE,"116,78,211,200",-0.2229,0.1749
71,2.367,haar,0.1000,Neutral,---,---,AMBIGUOUS,---,0.0159,0.0201,0.2757,0.2199,1.6153,0.1033,-0.001142,IDLE,"117,78,211,200",-0.1585,0.2286
72,2.400,haar,0.1225,Neutral,JOY,STARTLE,AMBIGUOUS,---,0.0234,0.1119,0.2216,0.1384,3.2063,0.1017,-0.001015,IDLE,"117,78,211,201",0.0148,0.3735
73,2.433,haar,0.1724,Neutral,JOY,---,AMBIGUOUS,---,0.0494,0.2066,0.1942,0.1209,2.4344,0.1012,-0.000790,IDLE,"117,78,212,202",0.0635,0.4208
74,2.467,haar,0.1904,Neutral,JOY,---,AMBIGUOUS,---,0.0618,0.2055,0.2235,0.1678,0.3629,0.1008,-0.000704,IDLE,"117,78,211,202",-0.0559,0.3295
75,2.500,haar,0.2039,Neutral,STRESS,STARTLE,AMBIGUOUS,---,0.0523,0.1505,0.2839,0.2839,3.1311,0.0998,-0.000716,IDLE,"117,78,211,202",-0.2964,0.1347
